timestamp	commit	skill	round	old_score	new_score	status	dim_changed	delta	note	eval_mode	judge_count
2026-09-14T13:20	no-git	dsh-ws-writing-skill	15	99.5	99.5	keep	-	0.0	BUGFIX C7: ledger.check_against_ledger mis-parsed markdown tables (crossed pipes) + weak-alias collision -> 5 false conflicts on correct draft; added _table_row_value + numeric tolerance + weak-only downgrade. Verified still catches REAL conflicts. Also added ledger value_shape rule + atomized 11 ledger values	full_test	2
2026-09-14T14:00	no-git	dsh-ws-writing-skill	16	99.5	99.5	keep	-	0.0	Zone C asset activation: new extract_style_samples.py (91 plans -> 286 scrubbed style samples, 33 topics, 0 leakage); wired into write_chapter w/ dedup + guarded-node exclusion; template detail preserved (18/18). Zone B +2 curated docs; style_role moved to frontmatter (source of truth). 16 scripts/9 JSON/grounding 420/420/consistency 0 violations	full_test	2
2026-09-14T15:10	no-git	dsh-ws-writing-skill	17	99.5	99.5	keep	-	0.0	NEW inline_images.py: cloud-converted md (xxx.md + images/) -> base64 inline + delete image dir, per vault rule (no image dirs, no external links); shared-image safety guard verified. Local mineru uninstalled (846MB cache removed) - cloud service used instead. Zone C samples 334/36 topics, 0 leakage	full_test	2
2026-09-14T16:20	no-git	dsh-ws-writing-skill	18	99.5	99.5	keep	-	0.0	ASSET D built: species_index.json - 87 native species parsed from entry-form corpora (entry format 编号）名[学名]，科属+lifeform+desc). Rejected window-based extraction (cross-talk: 早熟禾 grabbed 榕树 desc). Wired into write_chapter; serves 2.7.6/2.3/7.x. 18 scripts/10 JSON/grounding 420/0 violations	full_test	2
2026-09-14T17:10	no-git	dsh-ws-writing-skill	19	99.5	99.5	keep	-	0.0	ASSETS D/E/F built + wired. D species_index.json 87 species (entry-form parsing, rejected window extraction). E design_params.json GB51018 tables 5.7.1/5.7.2/5.7.3 (fixed split-table + multi-row-header parsing). F measure_methods.json 12 measures w/ Zone A design requirements. 20 scripts/12 JSON/grounding 420/0 violations	full_test	2
2026-09-14T18:20	no-git	dsh-ws-writing-skill	20	99.5	99.5	keep	-	0.0	GAP AUDIT round 2: E +3 tables (GB51018 5.6.2 drainage / 5.11.3 vegetation level; GB/T45107 B.1 B.2 topsoil quality) + clause-based level-determination rule (GB/T50434 4.0.1). F +3 monitoring clause sets (GB/T51240 7.1.1/7.1.2/7.2/7.3/7.4). Fixed container-expansion bug in measure_methods_refs (8.2.x got 0). 20 scripts/12 JSON/all audits 0 fail	full_test	2
2026-09-14T19:00	no-git	dsh-ws-writing-skill	21	99.5	99.5	keep	-	0.0	GAP AUDIT round 3: mined 5 more unmined Zone A standards (SL/T523 supervision, SL773 erosion calc, GB/T15776 afforestation, TD/T1070.1 mine restoration, GB/T51297 survey). F: 15->20 items. Fixed 2 anchor bugs: frontmatter pollution + TOC-match (use rfind for body). E: 8 params. 20 scripts/12 JSON/all audits pass	full_test	2
2026-09-14T19:40	no-git	dsh-ws-writing-skill	22	99.5	99.5	keep	-	0.0	GAP AUDIT round 4: mined GB50433 (primary standard) 7 measure-design sections into F(27 items). Fixed 4 extraction bugs: TOC-match(rfind), cross-reference-match, anchor-space variants, per-item serve_nodes + precise filtering. Now each node gets only relevant assets (7.7=20 measures, 10=1, 2.1=0)	full_test	2
2026-09-14T20:30	no-git	dsh-ws-writing-skill	23	99.5	99.5	keep	-	0.0	TOKEN SAVING (3 mechanisms, no quality loss): (1) kb_cache.py incremental caching - rebuild 20.5s->0.08s (256x), cache capped 8MB not 462MB; (2) write_chapter default compact pkg -16~28% (dedup hard_constraints, drop JSON indent, merge boilerplate), verified info-equivalent; (3) asset map docs to avoid full-KB grep. 21 scripts/12 JSON/all audits pass	full_test	2
2026-09-14T21:00	no-git	dsh-ws-writing-skill	24	99.5	99.5	keep	-	0.0	TOKEN SAVING round 2: (4) NEW kb_lookup.py - KB has 42MB largest file = 12.56M tokens; safe lookup returns ~500 tokens (25000x cheaper). 3 channels: --map/--ask/--find; (5) SKILL.md slimmed 28660->22176 chars (-23%, ~4200 tok per load) by extracting file-index to references/; fixed section numbering. 22 scripts/12 JSON/all audits pass	full_test	2
